<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.10.01	00:00:00	1115.10	1119.13	1111.00	1113.37	55121	0	0
2015.10.02	00:00:00	1112.94	1141.22	1104.61	1137.69	72993	0	0
2015.10.05	00:00:00	1137.58	1141.91	1130.07	1135.53	68208	0	0
2015.10.06	00:00:00	1135.14	1151.16	1134.94	1147.00	58665	0	0
2015.10.07	00:00:00	1146.57	1153.54	1141.79	1145.36	64191	0	0
2015.10.08	00:00:00	1145.25	1151.24	1136.58	1138.85	69059	0	0
2015.10.09	00:00:00	1138.47	1159.62	1138.47	1155.63	76121	0	0
2015.10.12	00:00:00	1155.17	1168.95	1154.51	1163.55	39873	0	0
2015.10.13	00:00:00	1163.14	1168.74	1151.73	1168.57	45142	0	0
2015.10.14	00:00:00	1168.26	1189.72	1163.21	1184.10	54787	0	0
2015.10.15	00:00:00	1183.74	1191.52	1174.12	1183.00	56607	0	0
2015.10.16	00:00:00	1182.20	1184.53	1174.19	1176.58	48882	0	0
2015.10.19	00:00:00	1175.87	1178.10	1168.49	1170.62	67780	0	0
2015.10.20	00:00:00	1170.47	1180.80	1167.31	1175.88	69884	0	0
2015.10.21	00:00:00	1175.34	1179.14	1163.71	1167.00	74775	0	0
2015.10.22	00:00:00	1166.66	1171.70	1162.55	1165.58	86844	0	0
2015.10.23	00:00:00	1165.45	1179.34	1158.89	1164.01	93702	0	0
2015.10.26	00:00:00	1163.75	1169.59	1162.14	1162.79	72503	0	0
2015.10.27	00:00:00	1162.70	1168.64	1160.62	1166.71	65906	0	0
2015.10.28	00:00:00	1166.45	1182.85	1152.27	1155.95	85811	0	0
2015.10.29	00:00:00	1156.31	1162.58	1144.67	1145.81	88629	0	0
2015.10.30	00:00:00	1146.88	1149.98	1139.23	1141.91	86038	0	0
2015.11.02	00:00:00	1141.61	1142.92	1132.63	1133.24	68302	0	0
2015.11.03	00:00:00	1133.20	1138.26	1114.39	1117.58	77144	0	0
2015.11.04	00:00:00	1117.38	1122.77	1106.37	1107.72	83902	0	0
2015.11.05	00:00:00	1107.18	1111.43	1102.98	1103.68	73801	0	0
2015.11.06	00:00:00	1103.87	1110.36	1085.40	1089.60	64874	0	0
2015.11.09	00:00:00	1089.66	1095.67	1088.33	1092.15	64921	0	0
2015.11.10	00:00:00	1091.68	1094.67	1085.31	1089.52	58408	0	0
2015.11.11	00:00:00	1089.26	1093.53	1084.11	1086.09	55157	0	0
2015.11.12	00:00:00	1085.97	1089.59	1074.08	1083.99	74550	0	0
2015.11.13	00:00:00	1083.81	1088.53	1079.58	1083.46	84982	0	0
2015.11.16	00:00:00	1089.35	1098.09	1081.27	1082.56	96957	0	0
2015.11.17	00:00:00	1083.23	1085.19	1065.43	1070.13	78885	0	0
2015.11.18	00:00:00	1071.09	1075.44	1064.67	1070.54	83795	0	0
2015.11.19	00:00:00	1070.07	1087.38	1069.51	1082.06	89543	0	0
2015.11.20	00:00:00	1080.56	1088.02	1075.79	1077.83	81200	0	0
2015.11.23	00:00:00	1076.27	1077.04	1066.69	1069.00	84435	0	0
2015.11.24	00:00:00	1068.85	1081.04	1068.72	1075.45	77884	0	0
2015.11.25	00:00:00	1075.18	1080.77	1067.86	1071.13	65419	0	0
2015.11.26	00:00:00	1071.21	1074.86	1069.58	1071.87	45312	0	0
2015.11.27	00:00:00	1070.82	1073.80	1052.64	1057.20	57249	0	0
2015.11.30	00:00:00	1057.66	1069.68	1053.13	1064.48	61050	0	0
2015.12.01	00:00:00	1065.06	1074.61	1063.20	1068.98	73024	0	0
2015.12.02	00:00:00	1068.18	1071.48	1050.63	1053.43	62907	0	0
2015.12.03	00:00:00	1053.81	1065.43	1046.32	1061.93	92293	0	0
2015.12.04	00:00:00	1062.58	1088.81	1058.12	1086.05	95554	0	0
2015.12.07	00:00:00	1085.69	1086.62	1066.29	1071.33	76098	0	0
2015.12.08	00:00:00	1070.47	1079.01	1067.65	1074.68	86328	0	0
2015.12.09	00:00:00	1074.70	1085.30	1069.38	1072.62	71642	0	0
2015.12.10	00:00:00	1071.98	1076.40	1069.37	1071.26	67308	0	0
2015.12.11	00:00:00	1071.57	1079.60	1062.37	1074.31	80252	0	0
2015.12.14	00:00:00	1073.17	1077.59	1058.58	1059.87	79571	0	0
2015.12.15	00:00:00	1059.68	1068.62	1059.20	1061.02	75161	0	0
2015.12.16	00:00:00	1060.73	1078.31	1060.69	1072.07	71459	0	0
2015.12.17	00:00:00	1072.68	1073.18	1047.62	1050.89	77659	0	0
2015.12.18	00:00:00	1052.10	1071.59	1050.88	1065.98	74584	0	0
2015.12.21	00:00:00	1065.62	1081.66	1063.80	1078.14	61150	0	0
2015.12.22	00:00:00	1078.28	1080.72	1071.83	1072.26	52651	0	0
2015.12.23	00:00:00	1072.23	1075.44	1068.25	1070.21	43601	0	0
2015.12.24	00:00:00	1069.78	1076.79	1069.78	1076.67	36539	0	0
2015.12.28	00:00:00	1075.44	1076.88	1066.40	1068.75	49375	0	0
2015.12.29	00:00:00	1068.78	1075.20	1067.47	1068.90	54059	0	0
2015.12.30	00:00:00	1068.99	1072.18	1059.37	1061.31	46036	0	0
2015.12.31	00:00:00	1061.27	1063.44	1058.16	1061.37	35584	0	0
2016.01.04	00:00:00	1062.18	1083.44	1061.72	1074.51	74093	0	0
2016.01.05	00:00:00	1073.58	1082.01	1072.62	1077.23	64602	0	0
2016.01.06	00:00:00	1077.38	1095.17	1074.95	1093.48	75449	0	0
2016.01.07	00:00:00	1093.79	1110.09	1091.37	1108.74	90852	0	0
2016.01.08	00:00:00	1108.96	1113.01	1091.98	1104.31	93049	0	0
2016.01.11	00:00:00	1104.21	1108.49	1093.55	1094.05	91436	0	0
2016.01.12	00:00:00	1094.49	1099.12	1083.38	1086.24	83304	0	0
2016.01.13	00:00:00	1087.06	1095.47	1079.75	1093.38	80775	0	0
2016.01.14	00:00:00	1093.31	1095.28	1071.38	1078.16	89258	0	0
2016.01.15	00:00:00	1078.84	1097.32	1076.23	1088.57	105599	0	0
2016.01.18	00:00:00	1089.55	1093.22	1087.49	1088.91	65518	0	0
2016.01.19	00:00:00	1088.98	1094.55	1082.52	1087.19	100951	0	0
2016.01.20	00:00:00	1087.39	1109.58	1087.39	1100.70	100581	0	0
2016.01.21	00:00:00	1100.80	1104.51	1092.42	1101.07	111905	0	0
2016.01.22	00:00:00	1101.29	1102.71	1094.00	1097.38	85125	0	0
2016.01.25	00:00:00	1097.61	1108.91	1097.14	1107.77	77108	0	0
2016.01.26	00:00:00	1108.42	1122.88	1106.96	1119.64	79577	0	0
2016.01.27	00:00:00	1120.08	1128.02	1114.84	1124.76	83956	0	0
2016.01.28	00:00:00	1125.18	1125.78	1111.06	1115.02	93243	0	0
2016.01.29	00:00:00	1114.61	1118.38	1108.48	1118.03	84488	0	0
2016.02.01	00:00:00	1117.05	1129.70	1115.35	1128.29	81578	0	0
2016.02.02	00:00:00	1128.51	1131.00	1122.26	1128.84	72811	0	0
2016.02.03	00:00:00	1128.91	1145.47	1124.37	1142.38	98927	0	0
2016.02.04	00:00:00	1141.73	1157.31	1139.51	1155.36	104244	0	0
2016.02.05	00:00:00	1155.02	1174.47	1145.17	1173.31	99522	0	0
2016.02.08	00:00:00	1172.10	1200.81	1164.26	1188.93	107179	0	0
2016.02.09	00:00:00	1190.34	1198.89	1185.72	1188.92	109722	0	0
2016.02.10	00:00:00	1189.53	1197.70	1181.44	1196.94	111606	0	0
2016.02.11	00:00:00	1197.17	1263.25	1195.85	1246.58	125582	0	0
2016.02.12	00:00:00	1246.97	1248.24	1232.40	1237.24	106623	0	0
2016.02.15	00:00:00	1234.73	1234.77	1202.14	1208.85	69864	0	0
2016.02.16	00:00:00	1209.19	1216.92	1190.83	1200.28	114366	0	0
2016.02.17	00:00:00	1201.28	1213.71	1195.69	1208.23	120067	0	0
2016.02.18	00:00:00	1209.16	1239.94	1200.66	1230.70	117798	0	0
2016.02.19	00:00:00	1230.33	1234.44	1219.92	1226.18	113452	0	0
2016.02.22	00:00:00	1225.22	1226.16	1201.87	1208.45	110121	0	0
2016.02.23	00:00:00	1208.79	1228.24	1207.15	1225.39	98853	0	0
2016.02.24	00:00:00	1225.74	1253.25	1221.81	1228.68	123302	0	0
